raw,eased,x,y,z,yaw,pitch
0.0133333,0.00136542,23087.9,645.76,45646.2,-115.164,-22.4502
0.0137037,0.00144233,23087.2,645.523,45643.1,-115.149,-22.4479
0.0140741,0.00152135,23086.5,645.288,45640,-115.134,-22.4454
0.0144444,0.00160247,23085.8,645.05,45636.9,-115.118,-22.4428
0.0148148,0.0016857,23085.1,644.8,45633.6,-115.102,-22.4402
0.0151852,0.00177104,23084.3,644.539,45630.1,-115.085,-22.4374
0.0155556,0.00185849,23083.6,644.288,45626.7,-115.068,-22.4346
0.0159259,0.00194804,23082.8,644.025,45623.2,-115.049,-22.4316
0.0162963,0.0020397,23082,643.752,45619.6,-115.03,-22.4286
0.0166667,0.00213347,23081.2,643.475,45615.8,-115.011,-22.4255
0.017037,0.00222934,23080.3,643.2,45612.1,-114.991,-22.4222
0.0174074,0.00232733,23079.5,642.914,45608.2,-114.97,-22.4189
0.0177778,0.00242741,23078.6,642.617,45604.2,-114.949,-22.4155
0.0181481,0.00252961,23077.7,642.326,45600.2,-114.926,-22.4119
0.0185185,0.00263391,23076.8,642.028,45596.1,-114.904,-22.4083
0.0188889,0.00274032,23075.9,641.719,45591.9,-114.88,-22.4046
0.0192593,0.00284884,23074.9,641.405,45587.5,-114.856,-22.4008
0.0196296,0.00295946,23074,641.095,45583.2,-114.832,-22.3969
0.02,0.0030722,23073,640.774,45578.8,-114.806,-22.3929
0.0203704,0.00318703,23072,640.443,45574.2,-114.78,-22.3888
0.0207407,0.00330398,23071,640.116,45569.6,-114.754,-22.3846
0.0211111,0.00342303,23070,639.784,45564.9,-114.727,-22.3803
0.0214815,0.00354419,23068.9,639.442,45560.1,-114.699,-22.3759
0.0218518,0.00366746,23067.8,639.093,45555.2,-114.67,-22.3715
0.0222222,0.00379283,23066.8,638.75,45550.3,-114.641,-22.3669
0.0225926,0.00392031,23065.7,638.397,45545.3,-114.611,-22.3622
0.022963,0.0040499,23064.5,638.034,45540.1,-114.581,-22.3575
0.0233333,0.0041816,23063.4,637.674,45534.9,-114.549,-22.3526
0.0237037,0.0043154,23062.3,637.31,45529.6,-114.517,-22.3477
0.0240741,0.00445131,23061.1,636.937,45524.2,-114.485,-22.3427
0.0244444,0.00458933,23059.9,636.558,45518.7,-114.452,-22.3376
0.0248148,0.00472945,23058.7,636.183,45513.2,-114.418,-22.3324
0.0251852,0.00487168,23057.5,635.8,45507.6,-114.383,-22.3271
0.0255555,0.00501602,23056.2,635.407,45501.8,-114.348,-22.3217
0.0259259,0.00516247,23055,635.018,45496.1,-114.313,-22.3162
0.0262963,0.00531102,23053.7,634.625,45490.2,-114.276,-22.3106
0.0266667,0.00546168,23052.4,634.223,45484.2,-114.239,-22.305
0.027037,0.00561445,23051.1,633.817,45478.2,-114.201,-22.2992
0.0274074,0.00576932,23049.8,633.414,45472.1,-114.163,-22.2934
0.0277778,0.0059263,23048.5,633.002,45465.9,-114.124,-22.2874
0.0281481,0.00608539,23047.1,632.582,45459.5,-114.084,-22.2814
0.0285185,0.00624658,23045.7,632.168,45453.2,-114.043,-22.2753
0.0288889,0.00640989,23044.3,631.748,45446.8,-114.002,-22.2691
0.0292592,0.0065753,23042.9,631.319,45440.2,-113.96,-22.2629
0.0296296,0.00674281,23041.5,630.89,45433.5,-113.918,-22.2565
0.03,0.00691244,23040.1,630.461,45426.9,-113.875,-22.25
0.0303704,0.00708417,23038.6,630.024,45420,-113.831,-22.2435
0.0307407,0.007258,23037.1,629.581,45413.1,-113.787,-22.2369
0.0311111,0.00743395,23035.7,629.144,45406.2,-113.741,-22.2302
0.0314815,0.007612,23034.2,628.699,45399.1,-113.696,-22.2234
0.0318518,0.00779216,23032.6,628.247,45391.9,-113.649,-22.2165
0.0322222,0.00797443,23031.1,627.798,45384.8,-113.602,-22.2095
0.0325926,0.0081588,23029.5,627.346,45377.5,-113.554,-22.2025
0.0329629,0.00834528,23028,626.887,45370.1,-113.506,-22.1954
0.0333333,0.00853387,23026.4,626.426,45362.6,-113.457,-22.1881
0.0337037,0.00872457,23024.8,625.967,45355.1,-113.407,-22.1808
0.0340741,0.00891737,23023.2,625.501,45347.4,-113.356,-22.1735
0.0344444,0.00911228,23021.5,625.03,45339.6,-113.305,-22.166
0.0348148,0.00930929,23019.9,624.564,45331.9,-113.253,-22.1585
0.0351852,0.00950842,23018.2,624.092,45324,-113.201,-22.1508
0.0355555,0.00970965,23016.5,623.614,45316,-113.147,-22.1431
0.0359259,0.00991299,23014.8,623.14,45307.9,-113.093,-22.1353
0.0362963,0.0101184,23013.1,622.662,45299.8,-113.039,-22.1274
0.0366666,0.010326,23011.4,622.179,45291.6,-112.983,-22.1195
0.037037,0.0105356,23009.7,621.696,45283.2,-112.927,-22.1115
0.0374074,0.0107474,23007.9,621.213,45274.9,-112.871,-22.1033
0.0377778,0.0109613,23006.1,620.725,45266.4,-112.813,-22.0952
0.0381481,0.0111773,23004.3,620.234,45257.8,-112.755,-22.0869
0.0385185,0.0113953,23002.5,619.748,45249.2,-112.697,-22.0785
0.0388889,0.0116155,23000.7,619.255,45240.5,-112.637,-22.0701
0.0392592,0.0118378,22998.9,618.758,45231.6,-112.577,-22.0616
0.0396296,0.0120623,22997,618.267,45222.7,-112.516,-22.053
0.04,0.0122888,22995.2,617.772,45213.8,-112.455,-22.0444
0.0403703,0.0125174,22993.3,617.271,45204.6,-112.393,-22.0356
0.0407407,0.0127481,22991.4,616.775,45195.5,-112.33,-22.0268
0.0411111,0.012981,22989.5,616.277,45186.3,-112.266,-22.0179
0.0414815,0.0132159,22987.6,615.774,45176.9,-112.202,-22.009
0.0418518,0.013453,22985.6,615.274,45167.5,-112.137,-21.9999
0.0422222,0.0136921,22983.7,614.773,45158.1,-112.072,-21.9908
0.0425926,0.0139334,22981.7,614.269,45148.5,-112.005,-21.9817
0.0429629,0.0141768,22979.7,613.765,45138.8,-111.938,-21.9724
